anio,semana,nombreestacion,temperatura_promedio
2007,48,VILLANUEVA,17.83641975308642
2007,49,PAJARITO - AUT,20.152482269503547
2007,49,VILLANUEVA,16.819205298013244
2007,50,PAJARITO - AUT,20.15068493150685
2007,50,VILLANUEVA,17.203896103896106
2007,51,PAJARITO - AUT,20.425
2007,51,VILLANUEVA,17.343975903614457
2007,52,PAJARITO - AUT,21.349101796407187
2007,52,VILLANUEVA,18.334756097560977
2008,1,PAJARITO - AUT,21.553797468354432
2008,1,VILLANUEVA,18.067664670658683
2008,2,PAJARITO - AUT,19.98954248366013
2008,2,VILLANUEVA,17.058169934640524
2008,3,PAJARITO - AUT,21.150000000000002
2008,3,VILLANUEVA,18.063522012578616
2008,4,PAJARITO - AUT,21.464331210191084
2008,4,VILLANUEVA,18.165131578947367
2008,5,PAJARITO - AUT,20.704878048780486
2008,5,VILLANUEVA,16.8688622754491
2008,6,PAJARITO - AUT,21.6320987654321
2008,6,VILLANUEVA,18.44491017964072
2008,7,PAJARITO - AUT,20.983333333333334
2008,7,VILLANUEVA,17.98375
2008,8,PAJARITO - AUT,20.16144578313253
2008,8,VILLANUEVA,17.333333333333332
2008,9,PAJARITO - AUT,21.21878787878788
2008,9,VILLANUEVA,17.982530120481925
2008,10,PAJARITO - AUT,19.933333333333334
2008,10,VILLANUEVA,16.636477987421383
2008,11,PAJARITO - AUT,19.504848484848488
2008,11,VILLANUEVA,16.423493975903614
2008,12,PAJARITO - AUT,21.499386503067484
2008,12,VILLANUEVA,18.396341463414632
2008,13,PAJARITO - AUT,21.334545454545452
2008,13,VILLANUEVA,18.187272727272727
2008,14,PAJARITO - AUT,20.2225
2008,14,VILLANUEVA,16.932515337423315
2008,15,PAJARITO - AUT,20.454421768707483
2008,15,VILLANUEVA,17.428025477707006
2008,16,PAJARITO - AUT,22.526415094339622
2008,16,VILLANUEVA,19.47948717948718
2008,17,PAJARITO - AUT,20.417721518987342
2008,17,VILLANUEVA,17.56025641025641
2008,18,PAJARITO - AUT,20.710975609756098
2008,18,VILLANUEVA,17.824242424242424
2008,19,PAJARITO - AUT,22.429936305732483
2008,19,VILLANUEVA,19.144099378881986
2008,20,PAJARITO - AUT,21.763749999999998
2008,20,VILLANUEVA,18.494339622641508
2008,21,PAJARITO - AUT,19.38780487804878
2008,21,VILLANUEVA,16.87914110429448
2008,22,PAJARITO - AUT,19.88
2008,22,VILLANUEVA,17.015060240963855
