anio,mes,tabla_origen,categoria,valor
2023,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,2510
2023,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,2406
2023,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,1882
2023,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,2122
2023,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,2508
2023,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,1992
2023,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,2297
2023,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,2248
2023,ENE,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,121
2023,FEB,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,106
2023,MAR,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,138
2023,ABR,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,109
2023,MAY,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,157
2023,JUN,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,359
2023,JUL,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,270
2023,AGO,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,199
2023,SEP,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,170
2023,OCT,otro_vigilado,DIRECCION_SECCIONAL_SALUD_ANTIOQUIA,201
2021,ENE,capital_departamento,MEDELLIN,6098
2021,FEB,capital_departamento,MEDELLIN,6569
2021,MAR,capital_departamento,MEDELLIN,7330
2021,ABR,capital_departamento,MEDELLIN,6628
2021,MAY,capital_departamento,MEDELLIN,6172
2021,JUN,capital_departamento,MEDELLIN,6811
2021,JUL,capital_departamento,MEDELLIN,7475
2021,AGO,capital_departamento,MEDELLIN,7577
2021,SEP,capital_departamento,MEDELLIN,8287
2021,OCT,capital_departamento,MEDELLIN,7512
2021,NOV,capital_departamento,MEDELLIN,8281
2021,DIC,capital_departamento,MEDELLIN,6802
2021,ENE,departamento,ANTIOQUIA,10612
2021,FEB,departamento,ANTIOQUIA,11386
2021,MAR,departamento,ANTIOQUIA,13150
2021,ABR,departamento,ANTIOQUIA,11385
2021,MAY,departamento,ANTIOQUIA,10982
2021,JUN,departamento,ANTIOQUIA,12132
2021,JUL,departamento,ANTIOQUIA,13300
2021,AGO,departamento,ANTIOQUIA,14119
2021,SEP,departamento,ANTIOQUIA,15578
2021,OCT,departamento,ANTIOQUIA,14042
2021,NOV,departamento,ANTIOQUIA,15475
2021,DIC,departamento,ANTIOQUIA,12290
2021,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,9547
2021,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,12005
2021,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,14506
2021,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,12181
2021,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,10456
2021,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,12869
2021,JUL,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,16470
2021,AGO,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,19888
2021,SEP,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,23226
