anio,semana,casos_dengue,temperatura_promedio,precipitacion_acumulada,temperatura_lag2,precipitacion_lag2,temperatura_lag4,precipitacion_lag4,casos_dengue_semana_siguiente
2017,28,51,19.86391694725028,18.069,20.762824675324676,106.402,19.27596770744226,73.822,40.0
2017,29,40,21.29785973229225,23.009,22.02601351351351,6.064,20.3,58.189,35.0
2017,30,35,22.08030821917809,0.325,19.86391694725028,18.069,20.762824675324676,106.402,35.0
2017,31,35,20.83987279843444,27.232,21.29785973229225,23.009,22.02601351351351,6.064,30.0
2017,32,30,21.427187461811076,62.252,22.08030821917809,0.325,19.86391694725028,18.069,14.0
2017,33,14,20.811791944062183,80.828,20.83987279843444,27.232,21.29785973229225,23.009,43.0
2017,34,43,20.984730538922157,27.446,21.427187461811076,62.252,22.08030821917809,0.325,31.0
2017,35,31,20.95571535500428,45.767,20.811791944062183,80.828,20.83987279843444,27.232,30.0
2017,36,30,20.048809523809524,138.48200000000003,20.984730538922157,27.446,21.427187461811076,62.252,39.0
2017,37,39,20.543082368082366,108.944,20.95571535500428,45.767,20.811791944062183,80.828,39.0
2017,38,39,20.53001290877797,83.201,20.048809523809524,138.48200000000003,20.984730538922157,27.446,43.0
2017,39,43,19.83614982578397,60.737,20.543082368082366,108.944,20.95571535500428,45.767,32.0
2017,40,32,19.5602991355778,95.911,20.53001290877797,83.201,20.048809523809524,138.48200000000003,33.0
2017,41,33,20.35522772636545,22.633000000000003,19.83614982578397,60.737,20.543082368082366,108.944,27.0
2017,42,27,21.79917857142857,36.388,19.5602991355778,95.911,20.53001290877797,83.201,28.0
2017,43,28,18.59555860805861,42.842,20.35522772636545,22.633000000000003,19.83614982578397,60.737,26.0
2017,44,26,19.52467532467532,51.764,21.79917857142857,36.388,19.5602991355778,95.911,25.0
2017,45,25,19.95096585804133,8.887,18.59555860805861,42.842,20.35522772636545,22.633000000000003,23.0
2017,46,23,19.21347147349506,104.486,19.52467532467532,51.764,21.79917857142857,36.388,29.0
2017,47,29,20.031569004847448,50.377,19.95096585804133,8.887,18.59555860805861,42.842,22.0
