anio,mes,categoria,proporcion,total_medellin,reclamos_estimados_medellin
2024,AGO,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.12218978446817384,11212,1369.9918634571652
2024,AGO,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.2064273966997427,11212,2314.463971797515
2024,AGO,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.20943335353042547,11212,2348.16675978313
2024,AGO,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.13748711451751244,11212,1541.5055279703495
2024,AGO,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.07622697334770737,11212,854.656825174495
2024,AGO,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.07451153201501405,11212,835.4232969523375
2024,AGO,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.07021505968634179,11212,787.2512492032641
2024,AGO,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.04306702024692912,11212,482.8674310085693
2024,AGO,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.037763316310069954,11212,423.40230246850433
2024,AGO,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.02267844917808327,11212,254.27077218466962
2024,SEP,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.15136241705492023,12446,1883.8566426655373
2024,SEP,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.1953691938444162,12446,2431.564986587604
2024,SEP,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.19930114358322745,12446,2480.502033036849
2024,SEP,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.13044613864181845,12446,1623.5326415360723
2024,SEP,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.09110546378653113,12446,1133.8986022871663
2024,SEP,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.07256106169702103,12446,903.0949738811238
2024,SEP,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.06470422137512354,12446,805.3087392347875
2024,SEP,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.04073132853310744,12446,506.94211492305516
2024,SEP,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.03422278695468022,12446,425.93680643795005
2024,SEP,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.020196244529154313,12446,251.36245940985458
2024,OCT,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.1511569265498733,14117,2133.8823321045616
2024,OCT,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.20000960603258847,14117,2823.5356083620513
2024,OCT,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.19070976573288026,14117,2692.2497628510705
2024,OCT,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.12528067626469422,14117,1768.5873068286883
2024,OCT,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.10658493533939314,14117,1504.659532186213
2024,OCT,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.07704038135949376,14117,1087.5790636519735
2024,OCT,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.06117842004779001,14117,863.6557558146516
2024,OCT,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.038562217072321416,14117,544.3828184099614
2024,OCT,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.03148377180869586,14117,444.45640662335944
