anio,mes,categoria,proporcion,total_medellin,reclamos_estimados_medellin,variacion_pct,promedio_movil_3m,z_score,nivel_riesgo
2025,FEB,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0605475697967035,13024,788.5715490322665,6.3892874566621405,746.9427243417316,-0.7844662058143159,bajo
2025,MAR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0646207338725586,14700,949.9247879266128,20.461458328335414,826.5698791831346,0.12208118063966608,medio
2025,ABR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0686914170189303,14332,984.4853887153098,3.6382460198908895,907.6605752247297,0.31625653487465627,medio
2025,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0671787734103842,15946,1071.2327208019872,8.811439263702736,1001.8809658146366,0.8036379331280045,medio
2025,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0700220292510728,14501,1015.3894461698072,-5.212991868879103,1023.7025185623683,0.4898879581307035,medio
2025,JUL,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0710683581463619,18804,1336.3694065841896,31.61151237342128,1140.9971911853281,2.2932824620879266,alto
2025,AGO,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0727931772548655,14221,1035.1917737414433,-22.537004465895972,1128.9835421651467,0.6011453981968868,medio
2025,SEP,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0699513289382197,19037,1331.663448996889,28.639299767995887,1234.4082097741739,2.266842499799198,alto
2025,OCT,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0664000547976964,17694,1174.88256959044,-11.773311006211696,1180.5792641095907,1.3859844677832485,medio
2026,ENE,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0611813799180965,14509,887.6806412316624,-24.44516037538076,1131.4088866063305,-0.22763146780189353,bajo
2026,FEB,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0608520267611176,15875,966.025924832743,8.82584118229457,1009.5297118849485,0.2125438430641114,medio
2026,MAR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0617828974796826,16504,1019.6649400046832,5.552544066685083,957.7905020230296,0.5139094019416015,medio
2026,ABR,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0612855792458775,16092,986.2075412246612,-3.281214982234104,990.632802020696,0.3259322802586704,medio
2024,ENE,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.0412905903101981,8855,365.62817719680464,,365.62817719680464,-1.678228122066165,bajo
